id,url,price,price_per_m2,currency,rooms,area,floor,floors_total,address,metro,metro_minutes,metro_transport,district,description,seller_type,published,room_type_query
329926388,https://www.cian.ru/sale/flat/329926388/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,42000000,591549,rur,4,71.0,2,13,"Россия, Москва, Большой Строченовский переулок, 9",Павелецкая,6,walk,Замоскворечье,4-комн. апарт.  ·  71 м²  ·  2/13 этаж,specialist,два дня назад,4
330558679,https://www.cian.ru/sale/flat/330558679/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,49722648,436930,rur,4,113.8,68,68,"Москва, жилой комплекс Левел Южнопортовая, 3",Кожуховская,9,walk,Печатники,"4-комн.кв.  ·  113,8 м²  ·  68/68 этаж",agency,4 часа назад,4
328646014,https://www.cian.ru/sale/flat/328646014/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,34500000,355670,rur,4,97.0,12,15,"Россия, Москва, 1-я Мясниковская улица, 16А",Белокаменная,20,walk,Богородское,4-комн.кв.  ·  97 м²  ·  12/15 этаж,agency,2 недели назад,4
325967189,https://www.cian.ru/sale/flat/325967189/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,35740000,418012,rur,4,85.5,4,5,"Россия, Москва, Плетешковский переулок, 8с2",Бауманская,5,walk,Басманный,"4-комн.кв.  ·  85,5 м²  ·  4/5 этаж",specialist,3 недели назад,4
330577002,https://www.cian.ru/sale/flat/330577002/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,41239656,438254,rur,4,94.1,59,64,"Москва, ЖК Левел Звенигородская, к2",Звенигородская,15,walk,Хорошево-Мневники,"4-комн.кв.  ·  94,1 м²  ·  59/64 этаж",agency,20 минут назад,4
328039191,https://www.cian.ru/sale/flat/328039191/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,32800000,328000,rur,4,100.0,2,22,"Россия, Москва, Флотская улица, 78к1",Моссельмаш,12,walk,Головинский,4-комн.кв.  ·  100 м²  ·  2/22 этаж,specialist,вчера,4
324223208,https://www.cian.ru/sale/flat/324223208/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,43500000,485491,rur,4,89.6,7,9,"Москва, Москва городской округ, г Москва, Краснопрудная ул, 26",Красносельская,3,walk,Красносельский,"4-комн.кв.  ·  89,6 м²  ·  7/9 этаж",specialist,вчера,4
330570936,https://www.cian.ru/sale/flat/330570936/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,34321254,431172,rur,4,79.6,2,11,"Москва, жилой комплекс Левел Нижегородская, 2",Нижегородская,10,walk,Нижегородский,"4-комн.кв.  ·  79,6 м²  ·  2/11 этаж",agency,3 часа назад,4
325368719,https://www.cian.ru/sale/flat/325368719/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,34000000,339321,rur,4,100.2,9,22,"Россия, Москва, улица Милашенкова, 18",Фонвизинская,10,walk,Бутырский,"4-комн.кв.  ·  100,2 м²  ·  9/22 этаж",specialist,2 недели назад,4
328610920,https://www.cian.ru/sale/flat/328610920/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,37500000,411636,rur,4,91.1,6,8,"Россия, Москва, Красноказарменная улица, 23",Авиамоторная,6,walk,Лефортово,"4-комн.кв.  ·  91,1 м²  ·  6/8 этаж",specialist,вчера,4
314588128,https://www.cian.ru/sale/flat/314588128/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,37035669,381300,rur,4,97.13,12,20,"Москва, Потешная улица, вл5с1",Преображенская площадь,17,walk,Преображенское,"4-комн. апарт.  ·  97,1 м²  ·  12/20 этаж",agency,час назад,4
329191980,https://www.cian.ru/sale/flat/329191980/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,49900000,356429,rur,4,140.0,9,18,"Россия, Москва, Большая Академическая улица, 67",Лихоборы,11,walk,Коптево,4-комн.кв.  ·  140 м²  ·  9/18 этаж,agency,неделю назад,4
328480575,https://www.cian.ru/sale/flat/328480575/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,31500000,301435,rur,4,104.5,18,23,"Россия, Москва, Окская улица, 1к1",Текстильщики,15,walk,Рязанский,"4-комн.кв.  ·  104,5 м²  ·  18/23 этаж",agency,7 часов назад,4
330577005,https://www.cian.ru/sale/flat/330577005/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,42781377,451280,rur,4,94.8,62,64,"Москва, ЖК Левел Звенигородская, к2",Звенигородская,15,walk,Хорошево-Мневники,"4-комн.кв.  ·  94,8 м²  ·  62/64 этаж",agency,20 минут назад,4
321585520,https://www.cian.ru/sale/flat/321585520/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,39500000,297440,rur,4,132.8,3,8,"Россия, Москва, Воротынская улица, 4к1",Планерная,9,transport,Куркино,"4-комн.кв.  ·  132,8 м²  ·  3/8 этаж",specialist,неделю назад,4
330309787,https://www.cian.ru/sale/flat/330309787/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,46500000,372000,rur,4,125.0,28,33,"Россия, Москва, 1-й Нагатинский проезд, 11к3",Нагатинская,16,walk,Нагатино-Садовники,4-комн.кв.  ·  125 м²  ·  28/33 этаж,specialist,3 часа назад,4
325476520,https://www.cian.ru/sale/flat/325476520/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,44704613,429027,rur,4,104.2,26,29,"Москва, ЖК Вейв, 4",Москворечье,18,walk,Москворечье-Сабурово,"4-комн.кв.  ·  104,2 м²  ·  26/29 этаж",agency,2 недели назад,4
