,rooms,area,floor,floors_total,metro,metro_minutes,metro_transport,district,seller_type,price_rub
19580,3.0,72.8,8,22,Коммунарка,17.0,walk,Сосенское,agency,26353600.0
19581,0.0,22.5,6,38,Водный стадион,12.0,walk,Головинский,agency,14886000.0
19582,3.0,85.8,12,28,Нижегородская,12.0,walk,Нижегородский,agency,37350001.0
19583,2.0,51.4,12,12,Владыкино,13.0,walk,Отрадное,specialist,17300000.0
19584,4.0,249.0,27,28,Щукинская,14.0,walk,Щукино,specialist,98300000.0
19585,3.0,75.0,6,12,Технопарк,13.0,walk,Даниловский,specialist,47000000.0
19586,1.0,45.92,6,7,Крёкшино,11.0,transport,Первомайское,agency,7852320.0
19587,1.0,61.4,6,39,Аминьевская,2.0,walk,Раменки,specialist,40000000.0
19588,2.0,68.31,3,12,Минская,15.0,walk,Раменки,agency,61591244.0
19589,3.0,92.4,5,10,Москва-Сити,8.0,walk,Пресненский,specialist,44500000.0
19590,0.0,11.7,1,9,Пражская,12.0,walk,Чертаново Южное,owner,5500000.0
19591,1.0,35.5,8,21,Белорусская,9.0,walk,Беговой,owner,32000000.0
19592,2.0,53.7,24,29,Бунинская аллея,5.0,transport,Сосенское,agency,19352138.0
19593,1.0,34.5,9,22,Пыхтино,6.0,transport,Внуковское,specialist,15500000.0
19594,0.0,31.2,12,19,Кунцевская,9.0,transport,Можайский,agency,10530000.0
19595,3.0,125.0,11,20,Новаторская,12.0,walk,Обручевский,specialist,78000000.0
19596,0.0,21.0,9,24,Волгоградский проспект,3.0,walk,Южнопортовый,specialist,9500000.0
19597,2.0,53.4,6,12,Генерала Тюленева,8.0,walk,Теплый Стан,agency,14900000.0
19598,1.0,38.8,9,18,Ольховая,7.0,transport,Сосенское,agency,14381730.0
19599,1.0,40.8,10,20,Технопарк,12.0,walk,Даниловский,specialist,23500000.0
19600,0.0,32.5,11,29,Звенигородская,11.0,walk,Хорошево-Мневники,specialist,22500000.0
19601,2.0,55.0,1,17,Пыхтино,9.0,transport,Внуково,specialist,10200000.0
19602,2.0,56.0,41,48,Тушинская,6.0,walk,Покровское-Стрешнево,agency,29116360.0
19603,3.0,112.5,3,6,Площадь Ильича,13.0,walk,Лефортово,specialist,65000000.0
19604,5.0,103.0,7,14,Смоленская,8.0,walk,Арбат,specialist,80000000.0
19605,3.0,55.8,7,9,Кутузовская,18.0,walk,Раменки,agency,21200000.0
19606,0.0,39.0,53,68,Москва-Сити,2.0,walk,Пресненский,agency,33000000.0
19607,1.0,32.4,12,14,Филатов Луг,6.0,transport,Сосенское,agency,13873680.0
19608,3.0,80.6,3,5,Лефортово,9.0,walk,Лефортово,specialist,6500000.0
19609,1.0,31.2,1,4,Физтех,4.0,walk,Северный,agency,8600000.0
19610,3.0,85.1,7,9,Сухаревская,5.0,walk,Красносельский,specialist,64500000.0
19611,1.0,43.41,25,25,Варшавская,12.0,walk,Москворечье-Сабурово,agency,28694010.0
19612,2.0,67.8,2,35,Алексеевская,10.0,walk,Останкинский,specialist,33000000.0
19613,4.0,146.0,5,6,Проспект Мира,8.0,walk,Мещанский,specialist,52000000.0
19614,3.0,111.0,61,79,Москва-Сити,4.0,walk,Пресненский,specialist,100000000.0
19615,4.0,289.7,6,8,Новокузнецкая,11.0,walk,Якиманка,agency,491496949.0
19616,3.0,66.0,2,27,Звенигородская,13.0,walk,Хорошево-Мневники,agency,36918156.0
19617,4.0,103.3,13,31,Грачёвская,8.0,walk,Ховрино,agency,26837340.0
19618,3.0,142.5,11,25,Кунцевская,9.0,walk,Фили-Давыдково,agency,152047500.0
19619,2.0,66.7,3,6,Троицк,11.0,transport,Троицк,agency,10745370.0
19620,3.0,94.6,4,17,Потапово,7.0,transport,Воскресенское,specialist,21000000.0
19621,2.0,54.4,7,10,Кокошкино,8.0,transport,Кокошкино,agency,15472176.0
19622,1.0,82.0,4,6,Кропоткинская,7.0,walk,Хамовники,specialist,289000000.0
19623,1.0,39.5,24,24,Боровское шоссе,17.0,walk,Солнцево,agency,17461962.0
19624,0.0,23.4,22,24,Бульвар Рокоссовского,2.0,walk,Богородское,agency,14699880.0
19625,2.0,37.3,17,45,Мичуринский проспект,3.0,transport,Очаково-Матвеевское,specialist,20990000.0
19626,3.0,85.42,28,28,Нагатинская,6.0,walk,Нагатино-Садовники,agency,70607275.0
19627,3.0,106.0,14,22,Профсоюзная,15.0,walk,Ломоносовский,owner,59600000.0
19628,1.0,35.6,12,16,Новомосковская,8.0,transport,Сосенское,specialist,14000000.0
19629,3.0,87.7,29,42,Тушинская,18.0,walk,Покровское-Стрешнево,agency,30408309.0
19630,3.0,137.1,13,18,Москва-Сити,16.0,walk,Дорогомилово,agency,186988928.0
19631,1.0,41.7,7,8,Ленинский проспект,14.0,walk,Гагаринский,agency,33193200.0
19632,2.0,63.6,32,54,Дмитровская,6.0,walk,Савеловский,agency,36683590.0
19633,4.0,127.3,11,15,Минская,5.0,transport,Раменки,agency,135000000.0
19634,2.0,51.5,14,19,Филатов Луг,10.0,transport,Московский,agency,17826906.0
19635,1.0,46.0,11,13,Аминьевская,12.0,walk,Раменки,specialist,41900000.0
19636,4.0,203.3,17,19,Академическая,1.0,walk,Академический,agency,91594825.0
19637,1.0,38.5,4,5,Партизанская,7.0,walk,Соколиная гора,agency,9603000.0
19638,3.0,58.6,4,9,Пражская,7.0,transport,Бирюлево Западное,specialist,15000000.0
19639,4.0,162.0,6,10,Новые Черёмушки,15.0,walk,Ломоносовский,specialist,54500000.0
19640,4.0,65.7,3,9,Коломенская,15.0,walk,Нагатино-Садовники,specialist,25000000.0
19641,1.0,34.6,4,32,Шелепиха,9.0,walk,Хорошево-Мневники,specialist,26990000.0
19642,3.0,242.0,2,7,Мякинино,22.0,transport,ЗАО,owner,200000000.0
19643,3.0,122.0,5,32,Павелецкая,9.0,walk,Даниловский,specialist,113500000.0
19644,2.0,37.7,1,14,Ольховая,20.0,transport,Десёновское,agency,12015000.0
19645,2.0,57.51,5,9,Кокошкино,17.0,walk,Кокошкино,agency,15864076.0
19646,2.0,52.0,10,15,Технопарк,11.0,walk,Даниловский,specialist,31100000.0
19647,3.0,51.4,7,9,Дегунино,8.0,walk,Восточное Дегунино,owner,4000000.0
19648,1.0,61.0,46,90,Деловой центр,4.0,walk,Пресненский,agency,71919000.0
19649,3.0,112.5,9,12,Ломоносовский проспект,19.0,walk,Раменки,agency,168000000.0
19650,5.0,256.0,7,7,Кропоткинская,3.0,walk,Хамовники,specialist,189000000.0
19651,0.0,28.3,6,12,Сокольники,10.0,walk,Сокольники,agency,19654350.0
19652,4.0,289.0,3,7,Кропоткинская,8.0,walk,Хамовники,specialist,380000000.0
19653,1.0,43.0,2,8,Преображенская площадь,5.0,walk,Преображенское,specialist,17728000.0
